,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Cory Alexander\alexaco01,7,1996,2005,307,4847,587,1508,237,669,266,352,78,481,834,263,37,467,514,1677,0.389,0.354,0.756,15.8,5.5,1.6,2.7,Jun 22 1973,Waynesboro
2,Justin Anderson\anderju01,5,2016,2020,219,2874,409,979,138,460,201,259,136,556,143,97,69,129,258,1157,0.418,0.3,0.776,13.1,5.3,2.5,0.7,Nov 19 1993,Montross
3,Jerrelle Benimon\benimje01,1,2015,2015,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0,1.5,0,Aug 1 1991,Warrenton
4,Keith Bogans\boganke01,11,2004,2014,671,14527,1482,3759,714,2020,579,809,391,1817,866,429,68,574,1223,4257,0.394,0.353,0.716,21.6,6.3,2.7,1.3,May 12 1980,Alexandria
5,Cal Bowdler\bowdlca01,3,2000,2002,142,1383,163,403,2,11,96,125,90,272,29,42,45,43,155,424,0.404,0.182,0.768,9.7,3,1.9,0.2,Mar 31 1977,Sharps
6,Dennis Boyd\boydde01,1,1979,1979,5,40,3,12,,,0,0,0,2,7,0,0,6,5,6,0.25,,,8,1.2,0.4,1.4,May 21 1954,Portsmouth
7,Allan Bristow\bristal01,10,1974,1983,695,14159,2102,4567,16,57,1230,1536,961,2787,2219,514,42,863,1418,5450,0.46,0.281,0.801,20.4,7.8,4,3.2,Aug 23 1951,Richmond
8,Bimbo Coles\colesbi01,14,1991,2004,852,20319,2549,5991,252,943,1278,1576,469,1820,3313,735,134,1267,1824,6628,0.425,0.267,0.811,23.8,7.8,2.1,3.9,Apr 22 1968,Covington
9,Dell Curry\curryde01,16,1987,2002,1083,23549,5090,11146,1245,3098,1245,1476,599,2617,1909,985,238,1299,1795,12670,0.457,0.402,0.843,21.7,11.7,2.4,1.8,Jun 25 1964,Harrisonburg
10,Bob Dandridge\dandrbo01,13,1970,1982,839,29502,6445,13317,2,12,2638,3382,908,5715,2846,661,303,630,2940,15530,0.484,0.167,0.78,35.2,18.5,6.8,3.4,Nov 15 1947,Richmond
11,Troy Daniels\danietr01,7,2014,2020,334,4970,757,1887,549,1385,143,179,74,440,182,97,21,184,422,2206,0.401,0.396,0.799,14.9,6.6,1.3,0.5,Jul 15 1991,Roanoke
12,Jesse Dark\darkje01,1,1975,1975,47,401,74,157,,,22,40,15,37,30,3,1,,48,170,0.471,,0.55,8.5,3.6,0.8,0.6,Sep 2 1951,Richmond
13,Mark Davis\davisma01,1,1989,1989,33,258,49,102,1,10,28,34,16,37,14,13,5,12,39,127,0.48,0.1,0.824,7.8,3.8,1.1,0.4,Jun 8 1963,Chesapeake
14,Terry Davis\daviste01,10,1990,2001,480,10369,1202,2545,3,19,654,1081,1106,2887,273,183,149,518,1176,3061,0.472,0.158,0.605,21.6,6.4,6,0.6,Jun 17 1967,Danville
15,Andre Dawkins\dawkian01,1,2015,2015,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,0.167,0.167,,5.5,0.8,0.5,0.3,Sep 19 1991,Fairfax
16,Roy Ebron\ebronro01,1,1974,1974,40,529,103,211,0,1,43,84,79,176,19,16,32,35,68,249,0.488,0,0.512,13.2,6.2,4.4,0.5,Aug 31 1951,Norfolk
17,Ray Epps\eppsra01,1,1979,1979,13,72,10,23,,,6,8,0,5,2,1,0,2,7,26,0.435,,0.75,5.5,2,0.4,0.2,Aug 20 1956,Amelia
18,Dorian Finney-Smith\finnedo01,4,2017,2020,247,5973,612,1439,254,777,200,276,340,1038,285,175,102,203,508,1678,0.425,0.327,0.725,24.2,6.8,4.2,1.2,May 4 1993,Portsmouth
19,William Franklin\frankwi01,3,1973,1976,107,1264,262,631,2,8,131,218,174,400,65,6,5,146,210,657,0.415,0.25,0.601,11.8,6.1,3.7,0.6,Oct 19 1949,Norfolk
20,Javonte Green\greenja02,1,2020,2020,44,414,49,98,6,23,23,36,18,80,23,23,7,18,37,127,0.5,0.261,0.639,9.4,2.9,1.8,0.5,Jul 23 1993,Petersburg
21,Devon Hall\hallde01,1,2020,2020,5,20,1,5,0,2,3,4,0,1,3,0,0,1,1,5,0.2,0,0.75,4,1,0.2,0.6,Jul 7 1995,Virginia Beach
22,Justin Harper\harpeju01,3,2012,2017,22,150,18,53,8,29,1,3,5,18,4,3,3,12,10,45,0.34,0.276,0.333,6.8,2,0.8,0.2,Aug 30 1989,Richmond
23,Bernie Harris\harribe01,1,1975,1975,11,25,2,11,,,1,2,2,8,1,0,1,,0,5,0.182,,0.5,2.3,0.5,0.7,0.1,Nov 26 1950,Roanoke
24,Gerald Henderson\hendege01,13,1980,1992,871,18856,3079,6526,203,611,1412,1820,526,1453,3141,939,98,1561,1918,7773,0.472,0.332,0.776,21.6,8.9,1.7,3.6,Jan 16 1956,Richmond
25,Andre Ingram\ingraan01,2,2018,2019,6,79,8,23,5,12,3,3,2,8,7,4,3,4,3,24,0.348,0.417,1,13.2,4,1.3,1.2,Nov 19 1985,Richmond
26,Allen Iverson*\iversal01,14,1997,2010,914,37584,8467,19906,1059,3383,6375,8168,745,3394,5624,1983,164,3262,1777,24368,0.425,0.313,0.78,41.1,26.7,3.7,6.2,Jun 7 1975,Hampton
27,Michael Jackson\jacksmi02,3,1988,1990,89,888,76,206,9,33,27,40,20,70,198,28,5,66,96,188,0.369,0.273,0.675,10,2.1,0.8,2.2,Jul 13 1964,Fairfax
28,Keith Jennings\jennike01,3,1993,1995,164,2955,353,809,136,364,248,291,44,248,614,164,2,201,213,1090,0.436,0.374,0.852,18,6.6,1.5,3.7,Nov 2 1968,Culpepper
29,Keldon Johnson\johnske04,1,2020,2020,9,92,16,31,2,5,7,10,5,17,6,5,1,3,9,41,0.516,0.4,0.7,10.2,4.6,1.9,0.7,Oct 11 1999,Chesterfield
30,Jerome Kersey\kerseje01,17,1985,2001,1153,28115,4723,10166,58,288,2321,3364,2330,6339,2134,1439,799,1583,3455,11825,0.465,0.201,0.69,24.4,10.3,5.5,1.9,Jun 26 1962,Clarksville
31,John Kuester\kuestjo01,3,1978,1980,135,1527,173,405,0,1,105,126,27,141,305,83,3,122,180,451,0.427,0,0.833,11.3,3.3,1,2.3,Feb 6 1955,Richmond
32,Jeremy Lamb\lambje01,8,2013,2020,481,10196,1874,4218,494,1457,790,928,252,1788,770,352,173,407,793,5032,0.444,0.339,0.851,21.2,10.5,3.7,1.6,May 30 1992,Henrico
33,Earl Lloyd*\lloydea01,9,1951,1960,560,14477,1766,4955,,,1150,1533,,3609,810,,,,2098,4682,0.356,,0.75,26.2,8.4,6.4,1.4,Apr 3 1928,Alexandria
34,George Lynch\lynchge01,12,1994,2005,774,17683,2086,4677,146,477,791,1213,1508,3902,1121,817,258,890,1675,5109,0.446,0.306,0.652,22.8,6.6,5,1.4,Sep 3 1970,Roanoke
35,Vernon Macklin\macklve01,1,2012,2012,23,135,19,35,0,0,8,14,14,34,5,4,4,3,9,46,0.543,,0.571,5.9,2,1.5,0.2,Sep 20 1986,Portsmouth
36,Moses Malone*\malonmo01,21,1975,1995,1455,49444,10277,20750,8,83,9018,11864,7382,17834,1936,1199,1889,4264,3477,29580,0.495,0.096,0.76,34,20.3,12.3,1.3,Mar 23 1955,Petersburg
37,Kendall Marshall\marshke01,4,2013,2016,160,3083,315,789,128,346,44,72,23,253,779,107,10,285,180,802,0.399,0.37,0.611,19.3,5,1.6,4.9,Aug 19 1991,Dumfries
38,Frank Mason\masonfr01,3,2018,2020,96,1472,220,568,47,160,135,176,39,181,242,52,14,107,110,622,0.387,0.294,0.767,15.3,6.5,1.9,2.5,Apr 3 1994,Petersburg
39,Tony Massenburg\masseto01,13,1991,2005,683,12291,1638,3484,1,11,961,1363,1054,2964,266,261,322,685,1607,4238,0.47,0.091,0.705,18,6.2,4.3,0.4,Jul 31 1967,Sussex
40,James Michael McAdoo\mcadoja01,4,2015,2018,111,874,133,252,5,17,63,118,79,188,37,33,47,42,108,334,0.528,0.294,0.534,7.9,3,1.7,0.3,Jan 4 1993,Norfolk
41,Guy Morgan\morgagu01,1,1983,1983,8,46,7,24,0,0,1,4,6,17,7,2,0,2,7,15,0.292,,0.25,5.8,1.9,2.1,0.9,Aug 23 1960,Virginia Beach
42,Isaiah Morris\morriis01,1,1993,1993,25,102,26,57,0,0,3,4,6,12,4,3,1,8,14,55,0.456,,0.75,4.1,2.2,0.5,0.2,Apr 2 1969,Richmond
43,Alonzo Mourning*\mournal01,15,1993,2008,838,25975,5116,9701,22,89,4057,5862,2184,7137,946,414,2356,2209,2810,14311,0.527,0.247,0.692,31,17.1,8.5,1.1,Feb 8 1970,Chesapeake
44,Johnny Newman\newmajo01,16,1987,2002,1159,28435,4456,9671,600,1786,3228,3984,950,2536,1688,1064,246,1656,3199,12740,0.461,0.336,0.81,24.5,11,2.2,1.5,Nov 28 1963,Danville
45,Jim O'Brien\obrieji02,2,1974,1975,58,665,103,240,6,30,56,75,58,138,87,41,26,81,61,268,0.429,0.2,0.747,11.5,4.6,2.4,1.5,Nov 7 1951,Falls Church
46,Jim Palmer\palmeji01,3,1959,1961,196,3794,627,1517,,,341,485,,1040,165,,,,563,1595,0.413,,0.703,19.4,8.1,5.3,0.8,Jun 8 1933,Keokee
47,Ron Perry\perryro01,3,1968,1970,187,5032,845,2210,139,405,399,568,107,517,420,,,421,484,2228,0.382,0.343,0.702,26.9,11.9,2.8,2.2,Dec 29 1943,Garrisonville
48,David Pope\popeda01,2,1985,1986,33,203,26,73,1,2,9,17,15,29,9,5,4,9,41,62,0.356,0.5,0.529,6.2,1.9,0.9,0.3,Apr 15 1962,Newport News
49,Paul Pressey\presspa01,11,1983,1993,724,19659,2855,5890,79,356,1875,2503,901,2798,3715,997,428,1700,2032,7664,0.485,0.222,0.749,27.2,10.6,3.9,5.1,Dec 24 1958,Richmond
50,Josh Reaves\reavejo02,1,2020,2020,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.5,0,0,0,Jun 4 1997,Fairfax
51,J.R. Reid\reidjr01,11,1990,2001,672,15370,2168,4594,5,37,1339,1869,1004,3381,639,514,264,947,1977,5680,0.472,0.135,0.716,22.9,8.5,5,1,Mar 31 1968,Virginia Beach
52,Devin Robinson\robinde01,2,2018,2019,8,108,20,35,0,2,9,14,8,25,6,5,6,2,13,49,0.571,0,0.643,13.5,6.1,3.1,0.8,Mar 7 1995,Chesterfield
53,Justin Robinson\robinju01,1,2020,2020,9,49,5,12,3,5,0,0,1,5,7,0,1,3,2,13,0.417,0.6,,5.4,1.4,0.6,0.8,Oct 12 1997,Manassas
54,Ralph Sampson*\sampsra01,9,1984,1992,456,13591,2924,6012,10,58,1181,1786,1174,4011,1038,390,752,1363,1590,7039,0.486,0.172,0.661,29.8,15.4,8.8,2.3,Jul 7 1960,Harrisonburg
55,Mike Scott\scottmi01,8,2013,2020,499,8242,1339,2926,434,1197,361,475,360,1584,451,156,60,336,739,3473,0.458,0.363,0.76,16.5,7,3.2,0.9,Jul 16 1988,Chesapeake
56,Ed Sherod\sheroed01,1,1983,1983,64,1624,171,421,1,13,52,80,43,149,311,96,14,104,112,395,0.406,0.077,0.65,25.4,6.2,2.3,4.9,Sep 13 1959,Richmond
57,Joe Smith\smithjo02,16,1996,2011,1030,27022,4325,9512,30,126,2528,3200,2456,6575,1010,606,868,1290,2974,11208,0.455,0.238,0.79,26.2,10.9,6.4,1,Jul 26 1975,Norfolk
58,Rory Sparrow\sparrro01,12,1981,1992,836,22550,3264,7008,101,389,928,1164,441,1755,4192,828,103,1534,1915,7557,0.466,0.26,0.797,27,9,2.1,5,Jun 12 1958,Suffolk
59,Bruce Spraggins\spragbr01,1,1968,1968,70,1590,306,686,2,5,238,336,,329,66,,,81,173,852,0.446,0.4,0.708,22.7,12.2,4.7,0.9,,Williamsburg
60,Bryant Stith\stithbr01,10,1993,2002,586,16417,2021,4767,306,931,1598,1900,605,1983,1178,594,130,776,1092,5946,0.424,0.329,0.841,28,10.1,3.4,2,Dec 10 1970,Emporia
61,Sam Stith\stithsa01,1,1962,1962,32,440,59,162,,,23,38,,51,60,,,,55,141,0.364,,0.605,13.8,4.4,1.6,1.9,Jul 22 1937,Greenville County
62,Tom Stith\stithto01,1,1963,1963,25,209,37,110,,,3,10,,39,18,,,,23,77,0.336,,0.3,8.4,3.1,1.6,0.7,Jan 21 1939,Greenville County
63,Julyan Stone\stoneju01,4,2012,2018,70,502,28,63,10,32,14,20,10,77,77,16,8,25,56,80,0.444,0.313,0.7,7.2,1.1,1.1,1.1,Dec 7 1988,Alexandria
64,Lamont Strothers\strotla01,2,1992,1993,13,155,24,73,2,15,10,14,9,15,14,9,1,17,15,60,0.329,0.133,0.714,11.9,4.6,1.2,1.1,May 10 1968,Nansemond County
65,Skeeter Swift\swiftsk01,5,1970,1974,283,6839,1218,2738,130,436,713,848,154,631,820,3,0,700,915,3279,0.445,0.298,0.841,24.2,11.6,2.2,2.9,Jun 19 1946,Alexandria
66,Linton Townes\towneli01,3,1983,1985,60,543,109,248,9,25,30,40,31,67,32,20,7,34,86,257,0.44,0.36,0.75,9.1,4.3,1.1,0.5,Nov 30 1959,Richmond
67,Ronnie Valentine\valenro01,1,1981,1981,24,123,37,98,1,2,9,19,10,30,7,7,4,16,23,84,0.378,0.5,0.474,5.1,3.5,1.3,0.3,Nov 27 1957,Norfolk
68,Jarvis Varnado\varnaja01,2,2013,2014,37,397,39,67,0,0,29,56,21,72,16,11,31,16,72,107,0.582,,0.518,10.7,2.9,1.9,0.4,Mar 1 1988,Fairfax
69,Jimmy Walker\walkeji01,9,1968,1976,698,23590,4624,10039,,,2407,2903,139,1860,2429,253,36,,1735,11655,0.461,,0.829,33.8,16.7,2.7,3.5,Apr 8 1944,Amherst
70,Jamie Waller\walleja01,1,1988,1988,9,91,16,40,0,2,10,18,9,13,3,4,1,11,13,42,0.4,0,0.556,10.1,4.7,1.4,0.3,Nov 20 1964,South Boston
71,Wilson Washington\washiwi01,2,1978,1979,100,1700,318,640,,,95,157,138,450,57,49,104,161,261,731,0.497,,0.605,17,7.3,4.5,0.6,Aug 3 1955,Norfolk
72,Briante Weber\weberbr01,3,2016,2018,45,611,58,142,5,26,22,30,24,86,64,39,9,32,56,143,0.408,0.192,0.733,13.6,3.2,1.9,1.4,Dec 29 1992,Chesapeake
73,Mark West\westma01,17,1984,2000,1090,20213,2528,4356,0,4,1203,2117,1785,5347,428,326,1403,1208,3136,6259,0.58,0,0.568,18.5,5.7,4.9,0.4,Nov 5 1960,Petersburg
74,John Wetzel\wetzejo01,7,1968,1976,357,4714,465,1085,,,285,352,81,682,494,133,30,,608,1215,0.429,,0.81,13.2,3.4,1.9,1.4,Oct 22 1944,Waynesboro
75,Skippy Whitaker\whitask01,1,1955,1955,3,15,1,6,,,0,0,,1,1,,,,4,2,0.167,,,5,0.7,0.3,0.3,Aug 29 1930,Quantico
76,Andrew White\whitean01,1,2018,2018,15,209,25,73,18,49,1,4,4,34,6,3,1,8,12,69,0.342,0.367,0.25,13.9,4.6,2.3,0.4,Jun 16 1993,Richmond
77,Monty Williams\willimo01,9,1995,2003,456,7624,1143,2375,4,36,594,893,501,1296,544,251,137,554,897,2884,0.481,0.111,0.665,16.7,6.3,2.8,1.2,Oct 8 1971,Fredericksburg
78,Reggie Williams\willire02,7,2010,2017,206,3736,599,1313,199,545,201,268,105,493,301,88,13,142,241,1598,0.456,0.365,0.75,18.1,7.8,2.4,1.5,Sep 14 1986,Prince George
79,Troy Williams\willitr02,3,2017,2019,72,1176,168,374,43,144,50,77,49,191,52,57,22,60,131,429,0.449,0.299,0.649,16.3,6,2.7,0.7,Dec 30 1994,Hampton
80,Othell Wilson\wilsoot01,2,1985,1987,127,2049,216,476,6,34,97,130,63,212,424,119,16,172,189,535,0.454,0.176,0.746,16.1,4.2,1.7,3.3,Oct 26 1961,Alexandria
81,Ricky Wilson\wilsori02,1,1988,1988,24,420,43,110,10,26,29,40,2,27,69,23,3,25,40,125,0.391,0.385,0.725,17.5,5.2,1.1,2.9,Jul 16 1964,Hampton
